Abs_Time, Block_Idx, Trial_Idx, n_Targets, Asked_for_target, Response_type, Response_Time
328.56315, 1, 1, 2, False, No_Response, None
349.61278, 1, 2, 3, False, false_pos, 1.51234
370.64596, 1, 3, 4, False, true_neg, 2.02059
391.67916, 1, 4, 2, False, true_neg, 1.35406
412.71232, 1, 5, 2, True, true_pos, 1.27034
433.7455, 1, 6, 3, False, true_neg, 2.07027
454.7786, 1, 7, 3, True, true_pos, 1.65376
475.81176, 1, 8, 3, False, true_neg, 1.53661
496.84496, 1, 9, 4, True, true_pos, 1.6038
517.87808, 1, 10, 3, False, true_neg, 1.30359
538.9113, 1, 11, 4, True, No_Response, None
559.94446, 1, 12, 2, False, true_neg, 0.83675
580.97775, 1, 13, 2, False, true_neg, 1.05366
602.01074, 1, 14, 2, False, true_neg, 1.22003
623.04393, 1, 15, 3, True, true_pos, 1.18653
644.0771, 1, 16, 3, False, true_neg, 1.30382
665.11025, 1, 17, 4, True, true_pos, 1.25374
686.14341, 1, 18, 3, False, true_neg, 1.23671
707.17656, 1, 19, 2, True, true_pos, 2.087
728.20983, 1, 20, 3, True, true_pos, 1.55337
749.24305, 1, 21, 4, True, true_pos, 0.83631
770.27613, 1, 22, 2, False, true_neg, 1.12001
791.3092, 1, 23, 2, False, true_neg, 1.58733
812.34242, 1, 24, 4, True, false_neg, 1.45395
833.37556, 1, 25, 4, False, true_neg, 1.05366
854.40871, 1, 26, 4, False, true_neg, 1.1537
875.4419, 1, 27, 4, True, true_pos, 1.2705
896.47506, 1, 28, 3, False, true_neg, 1.22004
917.50822, 1, 29, 4, False, true_neg, 1.55381
938.5414, 1, 30, 2, True, true_pos, 0.81974
1063.52378, 2, 1, 2, True, No_Response, None
1084.57359, 2, 2, 3, True, No_Response, None
1105.60673, 2, 3, 2, True, No_Response, None
1126.6399, 2, 4, 2, False, true_neg, 1.12006
1147.67297, 2, 5, 4, False, true_neg, 1.00346
1168.70622, 2, 6, 3, False, true_neg, 1.28703
1189.73938, 2, 7, 3, False, true_neg, 1.46841
1210.77247, 2, 8, 4, True, true_pos, 0.93678
1231.80572, 2, 9, 2, True, false_neg, 0.95385
1252.83882, 2, 10, 4, True, true_pos, 1.02033
1273.872, 2, 11, 3, True, true_pos, 0.85341
1294.90511, 2, 12, 4, True, true_pos, 0.9202
1315.93831, 2, 13, 2, False, true_neg, 0.82031
1336.97152, 2, 14, 3, False, true_neg, 1.13663
1358.00462, 2, 15, 2, False, true_neg, 0.83686
1379.03773, 2, 16, 4, True, true_pos, 0.98691
1400.07095, 2, 17, 4, True, true_pos, 0.88697
1421.10409, 2, 18, 4, True, true_pos, 1.05351
1442.13724, 2, 19, 4, False, true_neg, 1.3701
1463.17048, 2, 20, 3, False, true_neg, 1.4871
1484.20366, 2, 21, 3, False, false_pos, 1.23697
1505.23685, 2, 22, 2, False, true_neg, 0.88696
1526.2699, 2, 23, 3, False, false_pos, 1.03663
1547.30303, 2, 24, 2, False, true_neg, 1.90373
1568.33639, 2, 25, 4, False, true_neg, 1.30333
1589.36939, 2, 26, 3, True, false_neg, 1.25338
1610.40255, 2, 27, 3, False, No_Response, None
1631.43568, 2, 28, 4, False, false_pos, 1.03675
1652.46885, 2, 29, 2, False, true_neg, 1.08704
1673.5021, 2, 30, 2, True, false_neg, 1.43702
1840.38407, 3, 1, 2, True, No_Response, None
1861.43381, 3, 2, 3, True, No_Response, None
1882.46704, 3, 3, 4, True, No_Response, None
1903.50014, 3, 4, 2, False, true_neg, 0.98699
1924.53328, 3, 5, 4, True, true_pos, 0.9199
1945.56643, 3, 6, 4, True, true_pos, 0.87018
1966.59961, 3, 7, 2, True, true_pos, 1.15355
1987.63291, 3, 8, 4, False, true_neg, 0.85343
2008.66592, 3, 9, 3, False, true_neg, 0.8368
2029.6991, 3, 10, 3, True, true_pos, 0.77033
2050.73215, 3, 11, 3, True, true_pos, 0.52015
2071.76543, 3, 12, 3, False, true_neg, 0.80337
2092.79866, 3, 13, 2, True, true_pos, 1.75347
